community_id,community_name,community_aliases,community_type,local_govt_council,ward,land_council,electorate,ntg_region,population_count,population_source,latitude,longitude,bushtel_url
715,WOOLIANA,No aliases recorded with NTG DIPL,Family Outstation,VICTORIA DALY,MILNGIN,NORTHERN LAND COUNCIL,DALY,TOP END,11,Homelands Service Provider Report 2023,-13.67483,130.64275,https://bushtel.nt.gov.au/profile/715
778,WUDADUK,"MURRADUM,MURRADUN",Family Outstation,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,TOP END,6,Homelands Service Provider Report 2023,-14.02771,129.94375,https://bushtel.nt.gov.au/profile/778
435,WUDAPULI,"WUDAPULLI,WUDUPULA",Family Outstation,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,TOP END,54,Homelands Service Provider Report 2023,-14.21351,129.85315,https://bushtel.nt.gov.au/profile/435
995,WULABURRI,No aliases recorded with NTG DIPL,Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,,Not recorded,-16.4064,136.84162,https://bushtel.nt.gov.au/profile/995
838,WULKABIMIRRI,WULKUBIMIRRI,Family Outstation,EAST ARNHEM,BIRR RAWARRANG,NORTHERN LAND COUNCIL,MULKA,EAST ARNHEM,35,Homelands Service Provider Report 2023,-12.35538,134.90591,https://bushtel.nt.gov.au/profile/838
563,WUMAJBARR,WUMARRDJBARR,Family Outstation,ROPER GULF,NUMBULWAR NUMBURINDI,NORTHERN LAND COUNCIL,ARNHEM,BIG RIVERS,8,Homelands Service Provider Report 2023,-14.16648,135.69241,https://bushtel.nt.gov.au/profile/563
937,WUMIRDIN,No aliases recorded with NTG DIPL,Family Outstation,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,TOP END,,Not recorded,-14.18907,129.56319,https://bushtel.nt.gov.au/profile/937
707,WUNARA,"ARRAWARRA,ARRUWURRA,WUNARRA,WUNURRA",Family Outstation,BARKLY,ALYAWARR,CENTRAL LAND COUNCIL,BARKLY,BARKLY,8,Homelands Service Provider Report 2023,-19.9898,136.6181,https://bushtel.nt.gov.au/profile/707
564,WUNBURRI,"BURGUNNGURA ISLAND,STEVENS ISLAND,WUNBIRRI",Family Outstation,EAST ARNHEM,GUMURR MARTHAKAL,NORTHERN LAND COUNCIL,MULKA,EAST ARNHEM,,Not recorded,-11.59498,136.07853,https://bushtel.nt.gov.au/profile/564
996,WUNDIGALLA,No aliases recorded with NTG DIPL,Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,4,Homelands Service Provider Report 2023,-16.47557,137.04307,https://bushtel.nt.gov.au/profile/996
437,WURDEJA,WUDEJA,Family Outstation,WEST ARNHEM,MANINGRIDA,NORTHERN LAND COUNCIL,ARAFURA,TOP END,35,Homelands Service Provider Report 2023,-12.17057,134.66085,https://bushtel.nt.gov.au/profile/437
817,WURLBU,"OOLBOUGH,WULBU",Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,5,Homelands Service Provider Report 2023,-16.07464,136.28415,https://bushtel.nt.gov.au/profile/817
565,WURRUMENBUMANJA,"LESKE POOLS,LESKIE POOLS,WURRUMENBUMANDJA,WURRUMENBUMANTJA",Family Outstation,EAST ARNHEM,ANINDILYAKWA,ANINDILYAKWA LAND COUNCIL,ARNHEM,EAST ARNHEM,20,Homelands Service Provider Report 2023,-14.13779,136.51557,https://bushtel.nt.gov.au/profile/565
548,WURWULA,"INGLIS ISLAND,NIKAWUNGYURA,NYEKALA",Family Outstation,EAST ARNHEM,GUMURR MARTHAKAL,NORTHERN LAND COUNCIL,MULKA,EAST ARNHEM,,Not recorded,-11.97646,136.30349,https://bushtel.nt.gov.au/profile/548
567,WUYAGIBA,"WIYAGIBA,WIYAKIPA",Family Outstation,ROPER GULF,NUMBULWAR NUMBURINDI,NORTHERN LAND COUNCIL,ARNHEM,BIG RIVERS,20,Homelands Service Provider Report 2023,-14.62149,135.52036,https://bushtel.nt.gov.au/profile/567
984,YAKALA,No aliases recorded with NTG DIPL,Family Outstation,MACDONNELL,LJIRAPINTA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,7,Homelands Service Provider Report 2023,-23.88668,132.6639,https://bushtel.nt.gov.au/profile/984
864,YALUKUN,"YALAKUN,YALLIQUIN",Family Outstation,EAST ARNHEM,GUMURR MIYARRKA,NORTHERN LAND COUNCIL,ARNHEM,EAST ARNHEM,9,Homelands Service Provider Report 2023,-12.26251,136.00585,https://bushtel.nt.gov.au/profile/864
796,YAMINYI,YAMINI,Family Outstation,WEST ARNHEM,MANINGRIDA,NORTHERN LAND COUNCIL,ARAFURA,TOP END,,Not recorded,-12.79026,134.35699,https://bushtel.nt.gov.au/profile/796
573,YANBAKWA,"YANBAGWA,YENBAGWA,YENBAKWA,YENBAKWAY",Family Outstation,EAST ARNHEM,ANINDILYAKWA,ANINDILYAKWA LAND COUNCIL,ARNHEM,EAST ARNHEM,29,Homelands Service Provider Report 2023,-14.21668,136.45613,https://bushtel.nt.gov.au/profile/573
218,YANGULINYINA,"BIDIDA,CALVERT HILLS,SURPRISE CREEK",Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,13,Homelands Service Provider Report 2023,-16.88886,137.20896,https://bushtel.nt.gov.au/profile/218
569,YANUNGBI,"YANGUMBI,YANGUNBI",Family Outstation,EAST ARNHEM,GUMURR MIWATJ,NORTHERN LAND COUNCIL,MULKA,EAST ARNHEM,6,Homelands Service Provider Report 2023,-12.27975,136.65787,https://bushtel.nt.gov.au/profile/569
939,YARTALU YARTALU,"BOGARDEE,GRANITES,THE GRANITES,YARDULYUYARDULYU",Family Outstation,CENTRAL DESERT,NORTHERN TANAMI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-20.57253,130.35528,https://bushtel.nt.gov.au/profile/939
194,YATEMANS BORE,"IRRANDI,IRRIANDI",Family Outstation,MACDONNELL,LJIRAPINTA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-23.68622,131.61441,https://bushtel.nt.gov.au/profile/194
191,YATJALU,YAJALU,Family Outstation,CENTRAL DESERT,SOUTHERN TANAMI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-22.40643,131.16216,https://bushtel.nt.gov.au/profile/191
719,YEDERR,No aliases recorded with NTG DIPL,Family Outstation,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,TOP END,,Not recorded,-14.01965,129.72201,https://bushtel.nt.gov.au/profile/719
572,YEDIKBA,EMERALD RIVER,Family Outstation,EAST ARNHEM,ANINDILYAKWA,ANINDILYAKWA LAND COUNCIL,ARNHEM,EAST ARNHEM,8,Homelands Service Provider Report 2023,-14.08056,136.45703,https://bushtel.nt.gov.au/profile/572
797,YIKARRAKKAL,"KUBUMI,YIKARRAKAL",Family Outstation,WEST ARNHEM,MANINGRIDA,NORTHERN LAND COUNCIL,ARAFURA,TOP END,10,Homelands Service Provider Report 2023,-12.50363,134.1114,https://bushtel.nt.gov.au/profile/797
303,YILAN,"BUNBAWA,MU-GANARRA,MUGANARRA,MURGANARRA,Y'LAN",Family Outstation,WEST ARNHEM,MANINGRIDA,NORTHERN LAND COUNCIL,ARAFURA,TOP END,30,Homelands Service Provider Report 2023,-12.04251,134.62196,https://bushtel.nt.gov.au/profile/303
898,YILILA,No aliases recorded with NTG DIPL,Family Outstation,ROPER GULF,NUMBULWAR NUMBURINDI,NORTHERN LAND COUNCIL,ARNHEM,BIG RIVERS,7,Homelands Service Provider Report 2023,-13.68204,135.91308,https://bushtel.nt.gov.au/profile/898
574,YIMIDARRA,"POLICEMAN'S CROSSING,YIMIDARRI",Family Outstation,ROPER GULF,NUMBULWAR NUMBURINDI,NORTHERN LAND COUNCIL,ARNHEM,BIG RIVERS,15,Homelands Service Provider Report 2023,-14.21752,135.56463,https://bushtel.nt.gov.au/profile/574
659,YINGUWUNARRI,"MONTEJINNI,OLD TOP SPRINGS,TOP SPRINGS,WANARR,YINGAWINARRI",Family Outstation,VICTORIA DALY,WALANGERI,NORTHERN LAND COUNCIL,GWOJA,BIG RIVERS,,Not recorded,-16.60891,131.82362,https://bushtel.nt.gov.au/profile/659
999,YINYIKAY,"NYINIKAY,RHODES POINT",Family Outstation,EAST ARNHEM,GUMURR MARTHAKAL,NORTHERN LAND COUNCIL,MULKA,EAST ARNHEM,13,Homelands Service Provider Report 2023,-12.21024,136.22921,https://bushtel.nt.gov.au/profile/999
195,YINYIRIPALANGU,"ETHEL CREEK,NGARI-PALYA",Family Outstation,CENTRAL DESERT,SOUTHERN TANAMI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-22.21046,130.20558,https://bushtel.nt.gov.au/profile/195
1002,YIRRA BANDOO,"ELIZABETH RIVER,VIRGINIA",Family Outstation,LITCHFIELD,CENTRAL WARD,NORTHERN LAND COUNCIL,GOYDER,"DARWIN, PALMERSTON, LITCHFIELD",,Not recorded,-12.57293,131.02238,https://bushtel.nt.gov.au/profile/1002
575,YIRRINGA,DRYSDALE ISLAND,Family Outstation,EAST ARNHEM,GUMURR MARTHAKAL,NORTHERN LAND COUNCIL,MULKA,EAST ARNHEM,,Not recorded,-11.64538,136.02578,https://bushtel.nt.gov.au/profile/575
672,YUDU YUDU,YUDUYUDU,Family Outstation,EAST ARNHEM,GUMURR MIWATJ,NORTHERN LAND COUNCIL,MULKA,EAST ARNHEM,14,Homelands Service Provider Report 2023,-12.23335,136.63724,https://bushtel.nt.gov.au/profile/672
863,YULARA PULKA,No aliases recorded with NTG DIPL,Family Outstation,MACDONNELL,IYARRKA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,5,Homelands Service Provider Report 2023,-25.25455,130.89108,https://bushtel.nt.gov.au/profile/863
1010,YULBARA,ULBARA POINT,Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,,Not recorded,-15.7777,136.9997,https://bushtel.nt.gov.au/profile/1010
200,YUMURRPA,"CAVES BORE,YUMURLPA",Family Outstation,CENTRAL DESERT,SOUTHERN TANAMI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-21.62731,130.78047,https://bushtel.nt.gov.au/profile/200
196,YUWALKI,"MT. DAVID BORE,UALKI,YUALTJI",Family Outstation,MACDONNELL,LURITJA PINTUBI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-23.56347,129.53922,https://bushtel.nt.gov.au/profile/196
123,YUWERLI,"BEAN TREE,NGALIKIRLAN",Family Outstation,CENTRAL DESERT,SOUTHERN TANAMI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-22.03566,131.65064,https://bushtel.nt.gov.au/profile/123
