community_id,community_name,community_aliases,community_type,local_govt_council,ward,land_council,electorate,ntg_region,population_count,population_source,latitude,longitude,bushtel_url
153,TJUNTINANTA,"KIKUNKURRA,TJUNINANTA",Family Outstation,MACDONNELL,IYARRKA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-24.85187,129.23084,https://bushtel.nt.gov.au/profile/153
154,TNAWURTA,"KWATJINMARRA,TNUWURTA",Family Outstation,MACDONNELL,LJIRAPINTA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,4,Homelands Service Provider Report 2023,-23.9989,132.83835,https://bushtel.nt.gov.au/profile/154
928,TNERTE,No aliases recorded with NTG DIPL,Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,19,Homelands Service Provider Report 2023,-23.74715,133.72011,https://bushtel.nt.gov.au/profile/928
155,TNYIMIPURTA,"TNJIMIPUTA,TNYIMIPIRTA,TNYIMIPUTA,TNYIMPIRTA",Family Outstation,MACDONNELL,LJIRAPINTA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,11,Homelands Service Provider Report 2023,-23.88779,132.67113,https://bushtel.nt.gov.au/profile/155
14153250,TODD RIVER DOWNS,No aliases recorded with NTG DIPL,Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,1,Homelands Service Provider Report 2023,-24.2584,135.2705,https://bushtel.nt.gov.au/profile/14153250
970,TOMMYHAWK SWAMP,No aliases recorded with NTG DIPL,Family Outstation,BARKLY,ALYAWARR,CENTRAL LAND COUNCIL,BARKLY,BARKLY,4,Homelands Service Provider Report 2023,-22.19431,134.59274,https://bushtel.nt.gov.au/profile/970
30,TOWN BORE,"ARKILKI,ARRKILKI,DERWENT BORE",Family Outstation,MACDONNELL,LURITJA PINTUBI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,15,Homelands Service Provider Report 2023,-23.35473,132.06416,https://bushtel.nt.gov.au/profile/30
423,TREE POINT,DURDUGU,Family Outstation,LITCHFIELD,NORTH WARD,NORTHERN LAND COUNCIL,NELSON,"DARWIN, PALMERSTON, LITCHFIELD",,Not recorded,-12.30839,131.01819,https://bushtel.nt.gov.au/profile/423
649,TURKEY LAGOON,"BANANDA,BANUNDA,BUNUNDA",Family Outstation,ROPER GULF,YUGUL MANGI,NORTHERN LAND COUNCIL,ARNHEM,BIG RIVERS,,Not recorded,-14.52938,134.75093,https://bushtel.nt.gov.au/profile/649
785,TURNERS CAMP,SANDY BORE,Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,24,Homelands Service Provider Report 2023,-23.30514,134.06937,https://bushtel.nt.gov.au/profile/785
